holding_month,base_return_path,variant,unhedged_weight,portfolio_return
2026-01,gross_underlying,legacy_dynamic_90_50_10,0.5,0.07401998542938884
2026-02,gross_underlying,legacy_dynamic_90_50_10,0.5,0.06185902450859276
2026-03,gross_underlying,legacy_dynamic_90_50_10,0.5,-0.04723417802341913
2026-04,gross_underlying,legacy_dynamic_90_50_10,0.5,0.06387144877162407
2026-05,gross_underlying,legacy_dynamic_90_50_10,0.5,0.07838165873240438
2026-06,gross_underlying,legacy_dynamic_90_50_10,0.5,-0.007938719252063317
2026-07,gross_underlying,legacy_dynamic_90_50_10,0.1,-0.05514767414612637
2008-06,net25_underlying,fully_hedged_proxy,0.0,-0.0019511441757345
2008-07,net25_underlying,fully_hedged_proxy,0.0,-0.0204861991124011
2008-08,net25_underlying,fully_hedged_proxy,0.0,-0.0180400389880066
2008-09,net25_underlying,fully_hedged_proxy,0.0,-0.0312067143512884
2008-10,net25_underlying,fully_hedged_proxy,0.0,-0.0403448092102947
2008-11,net25_underlying,fully_hedged_proxy,0.0,0.049876808209061
2008-12,net25_underlying,fully_hedged_proxy,0.0,0.0450635178594248
2009-01,net25_underlying,fully_hedged_proxy,0.0,-0.0396353679354143
2009-02,net25_underlying,fully_hedged_proxy,0.0,-0.0147283077335243
2009-03,net25_underlying,fully_hedged_proxy,0.0,0.0225669236276752
2009-04,net25_underlying,fully_hedged_proxy,0.0,0.0118333423400301
2009-05,net25_underlying,fully_hedged_proxy,0.0,0.0404023865012305
2009-06,net25_underlying,fully_hedged_proxy,0.0,-0.0128463963197646
2009-07,net25_underlying,fully_hedged_proxy,0.0,0.0781266650246149
2009-08,net25_underlying,fully_hedged_proxy,0.0,0.0077448802764191
2009-09,net25_underlying,fully_hedged_proxy,0.0,0.0712333462107392
2009-10,net25_underlying,fully_hedged_proxy,0.0,-0.0322518175987641
2009-11,net25_underlying,fully_hedged_proxy,0.0,0.0664853294334307
2009-12,net25_underlying,fully_hedged_proxy,0.0,0.018638284452913
2010-01,net25_underlying,fully_hedged_proxy,0.0,-0.0423768282906077
2010-02,net25_underlying,fully_hedged_proxy,0.0,0.0208510133085063
2010-03,net25_underlying,fully_hedged_proxy,0.0,0.0605463014397966
2010-04,net25_underlying,fully_hedged_proxy,0.0,0.0281034482854417
2010-05,net25_underlying,fully_hedged_proxy,0.0,-0.0643304931459485
2010-06,net25_underlying,fully_hedged_proxy,0.0,0.0014688048269223
2010-07,net25_underlying,fully_hedged_proxy,0.0,0.0179746711377479
2010-08,net25_underlying,fully_hedged_proxy,0.0,0.0030772915713644
2010-09,net25_underlying,fully_hedged_proxy,0.0,0.0370459210289333
2010-10,net25_underlying,fully_hedged_proxy,0.0,0.0306638489272726
2010-11,net25_underlying,fully_hedged_proxy,0.0,-0.0057435376503361
2010-12,net25_underlying,fully_hedged_proxy,0.0,0.045532265427097
2011-01,net25_underlying,fully_hedged_proxy,0.0,0.005580339532105
2011-02,net25_underlying,fully_hedged_proxy,0.0,0.0237171392466477
2011-03,net25_underlying,fully_hedged_proxy,0.0,0.0046356824970198
2011-04,net25_underlying,fully_hedged_proxy,0.0,0.0444459256503508
2011-05,net25_underlying,fully_hedged_proxy,0.0,-0.0171451113767436
2011-06,net25_underlying,fully_hedged_proxy,0.0,-0.0215562275327839
2011-07,net25_underlying,fully_hedged_proxy,0.0,0.0106707739071754
2011-08,net25_underlying,fully_hedged_proxy,0.0,0.0066230233228382
2011-09,net25_underlying,fully_hedged_proxy,0.0,-0.0342757935966842
2011-10,net25_underlying,fully_hedged_proxy,0.0,0.0311571086557979
2011-11,net25_underlying,fully_hedged_proxy,0.0,-0.0061279016795164
2011-12,net25_underlying,fully_hedged_proxy,0.0,-0.0076879885030089
2012-01,net25_underlying,fully_hedged_proxy,0.0,0.0403640119479775
2012-02,net25_underlying,fully_hedged_proxy,0.0,0.0131738048944826
2012-03,net25_underlying,fully_hedged_proxy,0.0,0.0146642156066044
2012-04,net25_underlying,fully_hedged_proxy,0.0,-0.0029169717568348
2012-05,net25_underlying,fully_hedged_proxy,0.0,-0.0214293393263146
2012-06,net25_underlying,fully_hedged_proxy,0.0,0.0164553989075185
2012-07,net25_underlying,fully_hedged_proxy,0.0,0.013852053359715
2012-08,net25_underlying,fully_hedged_proxy,0.0,0.0119331151307158
2012-09,net25_underlying,fully_hedged_proxy,0.0,0.0070403142335726
2012-10,net25_underlying,fully_hedged_proxy,0.0,-0.0272579019570816
2012-11,net25_underlying,fully_hedged_proxy,0.0,0.0078037217799412
2012-12,net25_underlying,fully_hedged_proxy,0.0,0.0228347194548783
2013-01,net25_underlying,fully_hedged_proxy,0.0,0.0151084888665577
2013-02,net25_underlying,fully_hedged_proxy,0.0,-0.0073179973333873
2013-03,net25_underlying,fully_hedged_proxy,0.0,0.0112494206061608
2013-04,net25_underlying,fully_hedged_proxy,0.0,0.0172156256899153
2013-05,net25_underlying,fully_hedged_proxy,0.0,-0.0180397181123125
2013-06,net25_underlying,fully_hedged_proxy,0.0,-0.0216258775529712
2013-07,net25_underlying,fully_hedged_proxy,0.0,0.0203935228632919
2013-08,net25_underlying,fully_hedged_proxy,0.0,-0.0057854636579847
2013-09,net25_underlying,fully_hedged_proxy,0.0,0.0111779396761908
2013-10,net25_underlying,fully_hedged_proxy,0.0,0.0250858088532139
2013-11,net25_underlying,fully_hedged_proxy,0.0,0.008284880563917
2013-12,net25_underlying,fully_hedged_proxy,0.0,0.0078969033409581
2014-01,net25_underlying,fully_hedged_proxy,0.0,-0.0154421442683805
2014-02,net25_underlying,fully_hedged_proxy,0.0,0.0193151294124663
2014-03,net25_underlying,fully_hedged_proxy,0.0,-0.01078680450743
2014-04,net25_underlying,fully_hedged_proxy,0.0,0.0038011358033053
2014-05,net25_underlying,fully_hedged_proxy,0.0,0.0161084389729293
2014-06,net25_underlying,fully_hedged_proxy,0.0,0.0173879463266602
2014-07,net25_underlying,fully_hedged_proxy,0.0,-0.0041046201365715
2014-08,net25_underlying,fully_hedged_proxy,0.0,0.0274582878543069
2014-09,net25_underlying,fully_hedged_proxy,0.0,-0.0361706104024164
2014-10,net25_underlying,fully_hedged_proxy,0.0,0.0118427073903649
2014-11,net25_underlying,fully_hedged_proxy,0.0,0.0180171551919093
2014-12,net25_underlying,fully_hedged_proxy,0.0,0.0038956203594817
2015-01,net25_underlying,fully_hedged_proxy,0.0,0.0279255177367408
2015-02,net25_underlying,fully_hedged_proxy,0.0,-0.0078069196496996
2015-03,net25_underlying,fully_hedged_proxy,0.0,-0.009153439521538
2015-04,net25_underlying,fully_hedged_proxy,0.0,-0.0093801517829576
2015-05,net25_underlying,fully_hedged_proxy,0.0,-0.0033143632404159
2015-06,net25_underlying,fully_hedged_proxy,0.0,-0.0233385187431644
2015-07,net25_underlying,fully_hedged_proxy,0.0,-0.0020919560823612
2015-08,net25_underlying,fully_hedged_proxy,0.0,-0.0199112504136017
2015-09,net25_underlying,fully_hedged_proxy,0.0,0.0021350230821884
2015-10,net25_underlying,fully_hedged_proxy,0.0,0.0116502091760954
2015-11,net25_underlying,fully_hedged_proxy,0.0,-0.0096574821763117
2015-12,net25_underlying,fully_hedged_proxy,0.0,-0.0072019791521295
