holding_month,best_sleeve,best_rolling60m_sharpe,ADAA_rolling60m_sharpe,ADAA_rank_among_6
2022-02-01,HAA,1.3803740237988325,1.4032780063892274,1.0
2022-03-01,HAA,1.4044450247746907,1.4117804562120049,1.0
2022-04-01,BAA,1.3901896456353504,1.3190553741275752,3.0
2022-05-01,BAA,1.3552895141755148,1.2529560370806763,3.0
2022-06-01,BAA,1.3524931711781742,1.2092644781602047,3.0
2022-07-01,HAA,1.3049539484871082,1.1859325512970165,3.0
2022-08-01,HAA,1.3049539484871082,1.1155197091804097,3.0
2022-09-01,HAA,1.2680617476791094,1.0417458775810384,3.0
2022-10-01,HAA,1.2680617476791094,1.0113682754603215,3.0
2022-11-01,HAA,1.2385091464409108,1.0297906150988343,3.0
2022-12-01,HAA,1.2081951252534169,0.9517094965609229,3.0
2023-01-01,HAA,1.1186949477796115,0.9242398538470042,3.0
2023-02-01,HAA,1.2555420310253296,0.9368046382890982,2.0
2023-03-01,HAA,1.2555420310253296,0.993939812844034,2.0
2023-04-01,HAA,1.2510115360651886,1.0087805986011835,2.0
2023-05-01,HAA,1.2618742250714017,0.996723870092653,2.0
2023-06-01,HAA,1.265288611317517,1.0284230283481923,2.0
2023-07-01,HAA,1.2346350392327148,1.050617886390803,2.0
2023-08-01,HAA,1.1881624679833445,0.9494269503326893,2.0
2023-09-01,HAA,1.2089444535000244,0.8934445570890741,2.0
2023-10-01,HAA,1.2089444535000244,0.9621678342613867,2.0
2023-11-01,HAA,1.2089444535000244,1.0103568406405508,2.0
2023-12-01,HAA,1.2830489117918058,1.1212226784957255,2.0
2024-01-01,HAA,1.189864805393832,1.0438088178162555,2.0
2024-02-01,HAA,1.245156412871251,1.0758433908463045,2.0
2024-03-01,HAA,1.265182872761595,1.0874174508006638,2.0
2024-04-01,HAA,1.1208665790698056,0.9509229714060798,2.0
2024-05-01,HAA,1.2195054592811316,1.0976148595757083,2.0
2024-06-01,HAA,1.1708283771389352,1.0752364901727236,2.0
2024-07-01,HAA,1.1710051744739942,1.064531124990005,2.0
2024-08-01,HAA,1.1366074761545928,1.0234809032512424,2.0
2024-09-01,HAA,1.1921197583518892,1.0994685520137342,2.0
2024-10-01,HAA,1.1300933232717054,1.0315778251580254,2.0
2024-11-01,HAA,1.1843052070443894,1.051727941272139,2.0
2024-12-01,HAA,1.0406111698253517,0.9247881644830778,2.0
2025-01-01,HAA,1.0746207756261243,0.9534674991476303,2.0
2025-02-01,HAA,1.1072096735987176,0.9706041859297903,2.0
2025-03-01,HAA,1.212874032422804,1.0103103100765354,2.0
2025-04-01,HAA,1.100338107732163,0.9130204633553207,2.0
2025-05-01,HAA,1.0568951493757952,0.8902697863111558,3.0
2025-06-01,HAA,1.0962938819767658,0.9152999160974957,3.0
2025-07-01,HAA,1.0087359889214396,0.8001502095284352,3.0
2025-08-01,HAA,0.9858923416566835,0.7523348318873355,3.0
2025-09-01,HAA,1.1506421891969247,0.9535997169607443,3.0
2025-10-01,HAA,1.25623352701336,1.0886974737344366,3.0
2025-11-01,HAA,1.1380070165947496,0.9646953792328204,3.0
2025-12-01,HAA,1.084259076812054,0.9000911560715111,3.0
2026-01-01,HAA,1.1560240203357526,1.0068277833443968,2.0
2026-02-01,HAA,1.1948743851786305,1.0784601023756388,3.0
2026-03-01,HAA,0.968512090777018,0.8132353179143365,3.0
2026-04-01,HAA,1.017771840861651,0.8526377950092714,4.0
2026-05-01,HAA,1.1014513930366896,0.9212271093668571,3.0
2026-06-01,HAA,1.0332197991239904,0.8414249952515365,3.0
2026-07-01,HAA,0.8736464536337746,0.6948019862257949,4.0
