rank,combination,mean_decision_distance,min_pair_distance,max_pair_distance,historical_2023_set
90,ADM | DM | GTAA | LAA | RAA,0.8626160995408633,0.6101254480286739,0.9833333333333334,False
91,BAA_Balanced | DM | GTAA | QSF | RAA,0.8624107973795461,0.6956911375661375,0.9833333333333334,False
92,DM | GTAA | QSF | RAA | VAA,0.8623978906430017,0.733739837398374,0.9833333333333334,False
93,ADM | FAA | GTAA | LAA | RAA,0.8622776349671497,0.6101254480286739,0.971830985915493,False
94,AAA | DM | FAA | LAA | RAA,0.8620901031719166,0.6101254480286739,0.9833333333333334,False
95,BAA_Aggressive | DM | KDA | LAA | RAA,0.8619123114660961,0.6101254480286739,0.9833333333333334,False
96,ADM | GTAA | LAA | QSF | RAA,0.8618106732735891,0.6101254480286739,0.971830985915493,False
97,AAA | BAA_Aggressive | DM | LAA | QSF,0.8617781724015761,0.7306975293160801,0.9782608695652174,False
98,BAA_Aggressive | DM | LAA | QSF | VAA,0.8617496624963842,0.6982793498867158,0.9782608695652174,False
99,ADM | DM | KDA | QSF | RAA,0.8617245400620076,0.6722152864474961,0.9833333333333334,False
100,ADM | BAA_Aggressive | DM | LAA | VAA,0.8616851377255319,0.6722152864474961,0.9782608695652174,False
101,ADM | DAA | DM | LAA | RAA,0.8616245390165718,0.6101254480286739,0.9833333333333334,False
102,BAA_Aggressive | DM | FAA | KDA | LAA,0.8615707238368376,0.6910555849523415,0.9782608695652174,False
103,ADM | GTAA | LAA | QSF | VAA,0.8615051415106251,0.733739837398374,0.971830985915493,False
104,DM | KDA | LAA | QSF | RAA,0.8615027787606149,0.6101254480286739,0.9833333333333334,False
105,DM | GPM | GTAA | LAA | QSF,0.861260208362031,0.7232987948265727,0.9782608695652174,False
106,BAA_Aggressive | DM | FAA | LAA | VAA,0.8611469533397204,0.6982793498867158,0.9782608695652174,False
107,BAA_Aggressive | DM | FAA | LAA | PAA,0.8611011068309257,0.7284918706559762,0.9782608695652174,False
108,BAA_Aggressive | DAA | DM | QSF | RAA,0.8610486236119561,0.7026323957812348,0.9833333333333334,False
109,ADM | DM | GPM | GTAA | LAA,0.8610069418749378,0.6722152864474961,0.9782608695652174,False
110,AAA | ADM | FAA | LAA | QSF,0.8608915067356355,0.6618125940389378,0.971830985915493,False
