strategy_a,strategy_b,n_months,mean_L1_target_weight_distance,normalized_L1_distance,mean_holdings_jaccard,holdings_disagreement,transition_jaccard,transition_timing_disagreement,primary_decision_distance,change_rate_a,change_rate_b
DAA,EAA,216,1.4482408153223079,0.7241204076611539,0.27060201886590773,0.7293979811340923,0.8660287081339713,0.13397129186602874,0.5291632268870916,0.8930232558139535,0.9209302325581395
DAA,FAA,216,1.5493827160493818,0.7746913580246909,0.1953905790711346,0.8046094209288654,0.6634146341463415,0.3365853658536585,0.6386287149357383,0.8930232558139535,0.6930232558139535
DAA,GPM,216,1.471707818930041,0.7358539094650205,0.22637051734273952,0.7736294826572605,0.7960199004975125,0.20398009950248752,0.5711544972082562,0.8930232558139535,0.786046511627907
DAA,GTAA,216,1.6180555555555554,0.8090277777777777,0.15632599139543585,0.8436740086045642,0.5221674876847291,0.4778325123152709,0.710178099565871,0.8930232558139535,0.5441860465116279
DAA,KDA,216,1.4739984871481224,0.7369992435740612,0.2650995737801293,0.7349004262198706,0.9353233830845771,0.06467661691542292,0.512192095569785,0.8930232558139535,0.9162790697674419
DAA,LAA,216,1.6435185185185186,0.8217592592592593,0.13854166666666667,0.8614583333333333,0.05181347150259067,0.9481865284974094,0.8771347070300006,0.8930232558139535,0.05116279069767442
DAA,PAA,216,1.1386316872427982,0.5693158436213991,0.4488982082732083,0.5511017917267917,0.7009803921568627,0.2990196078431373,0.47314574773044266,0.8930232558139535,0.7209302325581395
DAA,QSF,216,1.774691358024691,0.8873456790123455,0.06657848324514991,0.9334215167548501,0.32653061224489793,0.6734693877551021,0.8314121945074326,0.8930232558139535,0.31627906976744186
DAA,RAA,216,1.5984567901234568,0.7992283950617284,0.15131406659184438,0.8486859334081556,0.12435233160621761,0.8756476683937824,0.8411873322878888,0.8930232558139535,0.11627906976744186
DAA,VAA,216,1.227623456790123,0.6138117283950615,0.26962081128747795,0.730379188712522,0.7193877551020408,0.2806122448979592,0.5416010540018475,0.8930232558139535,0.6744186046511628
DM,EAA,216,1.8709614906142884,0.9354807453071442,0.1132716049382716,0.8867283950617284,0.18592964824120603,0.8140703517587939,0.8787598307092223,0.17674418604651163,0.9209302325581395
DM,FAA,216,1.7962962962962958,0.8981481481481479,0.1111111111111111,0.8888888888888888,0.16149068322981366,0.8385093167701864,0.875182117935741,0.17674418604651163,0.6930232558139535
DM,GPM,216,1.993312757201646,0.996656378600823,0.003472222222222222,0.9965277777777778,0.1896551724137931,0.8103448275862069,0.9345096613216025,0.17674418604651163,0.786046511627907
DM,GTAA,216,1.7740740740740744,0.8870370370370372,0.12662037037037038,0.8733796296296297,0.14814814814814814,0.8518518518518519,0.8707561728395063,0.17674418604651163,0.5441860465116279
DM,KDA,216,1.69098976068632,0.84549488034316,0.13896604938271603,0.8610339506172839,0.175,0.825,0.8438429436534814,0.17674418604651163,0.9162790697674419
